cells,miR,repl,filename
HEK293FT,miR-122,rep1,mir122_rep1.txt
HEK293FT,miR-122,rep2,mir122_rep2.txt
HEK293FT,miR-133,rep1,mir133_rep1.txt
HEK293FT,miR-133,rep2,mir133_rep2.txt
HEK293FT,miR-138,rep1,mir138_rep1.txt
HEK293FT,miR-138,rep2,mir138_rep2.txt
HEK293FT,miR-145,rep1,mir145_rep1.txt
HEK293FT,miR-145,rep2,mir145_rep2.txt
HEK293FT,miR-184,rep1,mir184_rep1.txt
HEK293FT,miR-184,rep2,mir184_rep2.txt
HEK293FT,miR-190a,rep1,mir190a_rep1.txt
HEK293FT,miR-190a,rep2,mir190a_rep2.txt
HEK293FT,miR-200b,rep1,mir200b_rep1.txt
HEK293FT,miR-200b,rep2,mir200b_rep2.txt
HEK293FT,miR-216a,rep1,mir216a_rep1.txt
HEK293FT,miR-216a,rep2,mir216a_rep2.txt
HEK293FT,miR-217,rep1,mir217_rep1.txt
HEK293FT,miR-217,rep2,mir217_rep2.txt
HEK293FT,miR-219a,rep1,mir219a_rep1.txt
HEK293FT,miR-219a,rep2,mir219a_rep2.txt
HEK293FT,miR-375,rep1,mir375_rep1.txt
HEK293FT,miR-375,rep2,mir375_rep2.txt
HEK293FT,miR-451a,rep1,mir451a_rep1.txt
HEK293FT,miR-451a,rep2,mir451a_rep2.txt
HeLa,let-7,rep1,let7_rep1_compiled.txt
HeLa,let-7,rep2,let7_rep2_compiled.txt
HeLa,lsy-6,rep1,lsy6_rep1_compiled.txt
HeLa,lsy-6,rep2,lsy6_rep2_compiled.txt
HeLa,miR-124,rep1,mir124_rep1_compiled.txt
HeLa,miR-124,rep2,mir124_rep2_compiled.txt
HeLa,miR-137,rep1,mir137_rep1_compiled.txt
HeLa,miR-137,rep2,mir137_rep2_compiled.txt
HeLa,miR-139,rep1,mir139_rep1_compiled.txt
HeLa,miR-139,rep2,mir139_rep2_compiled.txt
HeLa,miR-143,rep1,mir143_rep1_compiled.txt
HeLa,miR-143,rep2,mir143_rep2_compiled.txt
HeLa,miR-144,rep1,mir144_rep1_compiled.txt
HeLa,miR-144,rep2,mir144_rep2_compiled.txt
HeLa,miR-153,rep1,mir153_rep1_compiled.txt
HeLa,miR-153,rep2,mir153_rep2_compiled.txt
HeLa,miR-155,rep1,mir155_rep1_compiled.txt
HeLa,miR-155,rep2,mir155_rep2_compiled.txt
HeLa,miR-182,rep1,mir182_rep1_compiled.txt
HeLa,miR-182,rep2,mir182_rep2_compiled.txt
HeLa,miR-199a,rep1,mir199a_rep1_compiled.txt
HeLa,miR-199a,rep2,mir199a_rep2_compiled.txt
HeLa,miR-1,rep1,mir1_rep1_compiled.txt
HeLa,miR-1,rep2,mir1_rep2_compiled.txt
HeLa,miR-204,rep1,mir204_rep1_compiled.txt
HeLa,miR-204,rep2,mir204_rep2_compiled.txt
HeLa,miR-205,rep1,mir205_rep1_compiled.txt
HeLa,miR-205,rep2,mir205_rep2_compiled.txt
HeLa,miR-216b,rep1,mir216b_rep1_compiled.txt
HeLa,miR-216b,rep2,mir216b_rep2_compiled.txt
HeLa,miR-223,rep1,mir223_rep1_compiled.txt
HeLa,miR-223,rep2,mir223_rep2_compiled.txt
HeLa,miR-7,rep1,mir7_rep1_compiled.txt
HeLa,miR-7,rep2,mir7_rep2_compiled.txt
